fact_id,tool_id,tool_name,vendor,field,value,status,quote,source_url,archive_url,fetched_at,page_dated,pages_checked,note
briefpoint.contract.provider_data_use,briefpoint,Briefpoint,"Briefpoint, Inc.",contract.provider_data_use,"Input/Output not used for telemetry learnings, but may be provided to third-party platforms/services",stated,"""excluding any Input or Output""",https://briefpoint.ai/terms-and-conditions/,,2026-09-06,,[],
briefpoint.contract.subprocessors_published,briefpoint,Briefpoint,"Briefpoint, Inc.",contract.subprocessors_published,,not-found,,https://briefpoint.ai/terms-and-conditions/,,2026-09-06,,"[""https://briefpoint.ai/page-sitemap.xml"", ""https://briefpoint.ai/post-sitemap.xml"", ""https://briefpoint.ai/pricing/"", ""https://briefpoint.ai/security/"", ""https://briefpoint.ai/trust/"", ""https://briefpoint.ai/privacy-policy/"", ""https://briefpoint.ai/terms-and-conditions/"", ""https://briefpoint.ai/terms-of-service/"", ""https://briefpoint.ai/legal/"", ""https://briefpoint.ai/legal-ai/"", ""https://briefpoint.ai/data-processing-agreement/"", ""https://briefpoint.ai/subprocessors/"", ""https://briefpoint.ai/soc-2/""]",Not found on checked public vendor pages.
briefpoint.contract.terms_last_updated,briefpoint,Briefpoint,"Briefpoint, Inc.",contract.terms_last_updated,,not-found,,https://briefpoint.ai/terms-and-conditions/,,2026-09-06,,"[""https://briefpoint.ai/page-sitemap.xml"", ""https://briefpoint.ai/post-sitemap.xml"", ""https://briefpoint.ai/pricing/"", ""https://briefpoint.ai/security/"", ""https://briefpoint.ai/trust/"", ""https://briefpoint.ai/privacy-policy/"", ""https://briefpoint.ai/terms-and-conditions/"", ""https://briefpoint.ai/terms-of-service/"", ""https://briefpoint.ai/legal/"", ""https://briefpoint.ai/legal-ai/"", ""https://briefpoint.ai/data-processing-agreement/"", ""https://briefpoint.ai/subprocessors/"", ""https://briefpoint.ai/soc-2/""]",Not found on checked public vendor pages.
briefpoint.pricing.free_trial,briefpoint,Briefpoint,"Briefpoint, Inc.",pricing.free_trial,,not-found,,https://briefpoint.ai/pricing/,,2026-09-06,,"[""https://briefpoint.ai/page-sitemap.xml"", ""https://briefpoint.ai/post-sitemap.xml"", ""https://briefpoint.ai/pricing/"", ""https://briefpoint.ai/security/"", ""https://briefpoint.ai/trust/"", ""https://briefpoint.ai/privacy-policy/"", ""https://briefpoint.ai/terms-and-conditions/"", ""https://briefpoint.ai/terms-of-service/"", ""https://briefpoint.ai/legal/"", ""https://briefpoint.ai/legal-ai/"", ""https://briefpoint.ai/data-processing-agreement/"", ""https://briefpoint.ai/subprocessors/"", ""https://briefpoint.ai/soc-2/""]",Not found on checked public vendor pages.
briefpoint.pricing.list_price,briefpoint,Briefpoint,"Briefpoint, Inc.",pricing.list_price,"$150 per attorney, billed annually ($1,800/year)",stated,"""per attorney · billed annually ($1,800/year)""",https://briefpoint.ai/pricing/,,2026-09-06,,[],
briefpoint.pricing.minimum_term,briefpoint,Briefpoint,"Briefpoint, Inc.",pricing.minimum_term,annual billing,stated,"""billed annually ($1,800/year)""",https://briefpoint.ai/pricing/,,2026-09-06,,[],
briefpoint.pricing.model,briefpoint,Briefpoint,"Briefpoint, Inc.",pricing.model,per-seat,stated,"""per attorney · billed annually ($1,800/year)""",https://briefpoint.ai/pricing/,,2026-09-06,,[],
briefpoint.pricing.published,briefpoint,Briefpoint,"Briefpoint, Inc.",pricing.published,yes,stated,"""$150""",https://briefpoint.ai/pricing/,,2026-09-06,,[],
briefpoint.pricing.seat_minimum,briefpoint,Briefpoint,"Briefpoint, Inc.",pricing.seat_minimum,,not-found,,https://briefpoint.ai/pricing/,,2026-09-06,,"[""https://briefpoint.ai/page-sitemap.xml"", ""https://briefpoint.ai/post-sitemap.xml"", ""https://briefpoint.ai/pricing/"", ""https://briefpoint.ai/security/"", ""https://briefpoint.ai/trust/"", ""https://briefpoint.ai/privacy-policy/"", ""https://briefpoint.ai/terms-and-conditions/"", ""https://briefpoint.ai/terms-of-service/"", ""https://briefpoint.ai/legal/"", ""https://briefpoint.ai/legal-ai/"", ""https://briefpoint.ai/data-processing-agreement/"", ""https://briefpoint.ai/subprocessors/"", ""https://briefpoint.ai/soc-2/""]",Not found on checked public vendor pages.
briefpoint.product.languages,briefpoint,Briefpoint,"Briefpoint, Inc.",product.languages,"[""English"", ""Spanish""]",stated,"""English & Spanish client translations""",https://briefpoint.ai/pricing/,,2026-09-06,,[],
briefpoint.product.markets,briefpoint,Briefpoint,"Briefpoint, Inc.",product.markets,"[""all 50 states"", ""98 federal district courts""]",stated,"""All 50 states + 98 federal district courts""",https://briefpoint.ai/pricing/,,2026-09-06,,[],
briefpoint.security.data_residency,briefpoint,Briefpoint,"Briefpoint, Inc.",security.data_residency,,not-found,,https://briefpoint.ai/security/,,2026-09-06,,"[""https://briefpoint.ai/page-sitemap.xml"", ""https://briefpoint.ai/post-sitemap.xml"", ""https://briefpoint.ai/pricing/"", ""https://briefpoint.ai/security/"", ""https://briefpoint.ai/trust/"", ""https://briefpoint.ai/privacy-policy/"", ""https://briefpoint.ai/terms-and-conditions/"", ""https://briefpoint.ai/terms-of-service/"", ""https://briefpoint.ai/legal/"", ""https://briefpoint.ai/legal-ai/"", ""https://briefpoint.ai/data-processing-agreement/"", ""https://briefpoint.ai/subprocessors/"", ""https://briefpoint.ai/soc-2/""]",Not found on checked public vendor pages.
briefpoint.security.encryption_at_rest,briefpoint,Briefpoint,"Briefpoint, Inc.",security.encryption_at_rest,,not-found,,https://briefpoint.ai/security/,,2026-09-06,,"[""https://briefpoint.ai/page-sitemap.xml"", ""https://briefpoint.ai/post-sitemap.xml"", ""https://briefpoint.ai/pricing/"", ""https://briefpoint.ai/security/"", ""https://briefpoint.ai/trust/"", ""https://briefpoint.ai/privacy-policy/"", ""https://briefpoint.ai/terms-and-conditions/"", ""https://briefpoint.ai/terms-of-service/"", ""https://briefpoint.ai/legal/"", ""https://briefpoint.ai/legal-ai/"", ""https://briefpoint.ai/data-processing-agreement/"", ""https://briefpoint.ai/subprocessors/"", ""https://briefpoint.ai/soc-2/""]",Not found on checked public vendor pages.
briefpoint.security.hipaa,briefpoint,Briefpoint,"Briefpoint, Inc.",security.hipaa,contradictory,contradictory,"""Services are not intended to meet HIPAA requirements""",https://briefpoint.ai/terms-and-conditions/,,2026-09-06,,[],Pricing/home badges say HIPAA/HIPAA-compliant; terms say services are not intended for HIPAA and Briefpoint is not a Business Associate.
briefpoint.security.iso27001,briefpoint,Briefpoint,"Briefpoint, Inc.",security.iso27001,,not-found,,https://briefpoint.ai/security/,,2026-09-06,,"[""https://briefpoint.ai/page-sitemap.xml"", ""https://briefpoint.ai/post-sitemap.xml"", ""https://briefpoint.ai/pricing/"", ""https://briefpoint.ai/security/"", ""https://briefpoint.ai/trust/"", ""https://briefpoint.ai/privacy-policy/"", ""https://briefpoint.ai/terms-and-conditions/"", ""https://briefpoint.ai/terms-of-service/"", ""https://briefpoint.ai/legal/"", ""https://briefpoint.ai/legal-ai/"", ""https://briefpoint.ai/data-processing-agreement/"", ""https://briefpoint.ai/subprocessors/"", ""https://briefpoint.ai/soc-2/""]",Not found on checked public vendor pages.
briefpoint.security.iso42001,briefpoint,Briefpoint,"Briefpoint, Inc.",security.iso42001,,not-found,,https://briefpoint.ai/security/,,2026-09-06,,"[""https://briefpoint.ai/page-sitemap.xml"", ""https://briefpoint.ai/post-sitemap.xml"", ""https://briefpoint.ai/pricing/"", ""https://briefpoint.ai/security/"", ""https://briefpoint.ai/trust/"", ""https://briefpoint.ai/privacy-policy/"", ""https://briefpoint.ai/terms-and-conditions/"", ""https://briefpoint.ai/terms-of-service/"", ""https://briefpoint.ai/legal/"", ""https://briefpoint.ai/legal-ai/"", ""https://briefpoint.ai/data-processing-agreement/"", ""https://briefpoint.ai/subprocessors/"", ""https://briefpoint.ai/soc-2/""]",Not found on checked public vendor pages.
briefpoint.security.no_training_on_customer_data,briefpoint,Briefpoint,"Briefpoint, Inc.",security.no_training_on_customer_data,,not-found,,https://briefpoint.ai/security/,,2026-09-06,,"[""https://briefpoint.ai/page-sitemap.xml"", ""https://briefpoint.ai/post-sitemap.xml"", ""https://briefpoint.ai/pricing/"", ""https://briefpoint.ai/security/"", ""https://briefpoint.ai/trust/"", ""https://briefpoint.ai/privacy-policy/"", ""https://briefpoint.ai/terms-and-conditions/"", ""https://briefpoint.ai/terms-of-service/"", ""https://briefpoint.ai/legal/"", ""https://briefpoint.ai/legal-ai/"", ""https://briefpoint.ai/data-processing-agreement/"", ""https://briefpoint.ai/subprocessors/"", ""https://briefpoint.ai/soc-2/""]",Not found on checked public vendor pages.
briefpoint.security.private_deployment,briefpoint,Briefpoint,"Briefpoint, Inc.",security.private_deployment,,not-found,,https://briefpoint.ai/security/,,2026-09-06,,"[""https://briefpoint.ai/page-sitemap.xml"", ""https://briefpoint.ai/post-sitemap.xml"", ""https://briefpoint.ai/pricing/"", ""https://briefpoint.ai/security/"", ""https://briefpoint.ai/trust/"", ""https://briefpoint.ai/privacy-policy/"", ""https://briefpoint.ai/terms-and-conditions/"", ""https://briefpoint.ai/terms-of-service/"", ""https://briefpoint.ai/legal/"", ""https://briefpoint.ai/legal-ai/"", ""https://briefpoint.ai/data-processing-agreement/"", ""https://briefpoint.ai/subprocessors/"", ""https://briefpoint.ai/soc-2/""]",Not found on checked public vendor pages.
briefpoint.security.retention_period,briefpoint,Briefpoint,"Briefpoint, Inc.",security.retention_period,generally deleted within 7 days after cancellation,stated,"""generally delete Customer Data within seven (7) days after cancellation""",https://briefpoint.ai/terms-and-conditions/,,2026-09-06,,[],
briefpoint.security.soc2,briefpoint,Briefpoint,"Briefpoint, Inc.",security.soc2,yes,implied,"""SOC 2 Type II""",https://briefpoint.ai/pricing/,,2026-09-06,,[],
briefpoint.security.soc2_type,briefpoint,Briefpoint,"Briefpoint, Inc.",security.soc2_type,Type II,implied,"""SOC 2 Type II""",https://briefpoint.ai/pricing/,,2026-09-06,,[],
briefpoint.security.sso_saml,briefpoint,Briefpoint,"Briefpoint, Inc.",security.sso_saml,,not-found,,https://briefpoint.ai/security/,,2026-09-06,,"[""https://briefpoint.ai/page-sitemap.xml"", ""https://briefpoint.ai/post-sitemap.xml"", ""https://briefpoint.ai/pricing/"", ""https://briefpoint.ai/security/"", ""https://briefpoint.ai/trust/"", ""https://briefpoint.ai/privacy-policy/"", ""https://briefpoint.ai/terms-and-conditions/"", ""https://briefpoint.ai/terms-of-service/"", ""https://briefpoint.ai/legal/"", ""https://briefpoint.ai/legal-ai/"", ""https://briefpoint.ai/data-processing-agreement/"", ""https://briefpoint.ai/subprocessors/"", ""https://briefpoint.ai/soc-2/""]",Not found on checked public vendor pages.
briefpoint.security.zero_retention,briefpoint,Briefpoint,"Briefpoint, Inc.",security.zero_retention,yes,implied,"""Zero-Retention AI""",https://briefpoint.ai/,,2026-09-06,,[],
casemark.accuracy.claim,casemark,CaseMark,"CaseMark, Inc.",accuracy.claim,Drafts documents and cites back to source,stated,"""CaseMark reads every page, drafts the document your matter needs, and cites back to the source.""",https://casemark.com/,http://web.archive.org/web/20260729204210/https://casemark.com/,2026-09-06,,,
casemark.accuracy.method_published,casemark,CaseMark,"CaseMark, Inc.",accuracy.method_published,yes,stated,"""cites back to the source""",https://casemark.com/,http://web.archive.org/web/20260729204210/https://casemark.com/,2026-09-06,,,
casemark.contract.dpa_available,casemark,CaseMark,"CaseMark, Inc.",contract.dpa_available,,not-found,,https://casemark.com/dpa,,2026-09-06,,"[""https://casemark.com/"", ""https://casemark.com/pricing"", ""https://casemark.com/security"", ""https://casemark.com/terms"", ""https://casemark.com/privacy"", ""https://casemark.com/dpa"", ""https://casemark.com/subprocessors"", ""https://casemark.com/workflows/gdpr-dpa"", ""https://casemark.com/workflows/data-processing-addendum-dpa-gdpr""]","Company DPA URL rendered only a navigation/not-found shell; workflow DPA pages describe a generator, not CaseMark contract terms."
casemark.contract.model_providers,casemark,CaseMark,"CaseMark, Inc.",contract.model_providers,,not-found,,https://casemark.com/security,http://web.archive.org/web/20260706024500/https://casemark.com/security,2026-09-06,,"[""https://casemark.com/"", ""https://casemark.com/pricing"", ""https://casemark.com/security"", ""https://casemark.com/terms"", ""https://casemark.com/privacy"", ""https://casemark.com/dpa"", ""https://casemark.com/subprocessors"", ""https://casemark.com/workflows/gdpr-dpa"", ""https://casemark.com/workflows/data-processing-addendum-dpa-gdpr""]",
casemark.contract.privacy_last_updated,casemark,CaseMark,"CaseMark, Inc.",contract.privacy_last_updated,,not-found,,https://casemark.com/privacy,,2026-09-06,,"[""https://casemark.com/"", ""https://casemark.com/pricing"", ""https://casemark.com/security"", ""https://casemark.com/terms"", ""https://casemark.com/privacy"", ""https://casemark.com/dpa"", ""https://casemark.com/subprocessors"", ""https://casemark.com/workflows/gdpr-dpa"", ""https://casemark.com/workflows/data-processing-addendum-dpa-gdpr""]",Privacy URL rendered only a navigation/not-found shell.
casemark.contract.subprocessors_published,casemark,CaseMark,"CaseMark, Inc.",contract.subprocessors_published,,not-found,,https://casemark.com/subprocessors,,2026-09-06,,"[""https://casemark.com/"", ""https://casemark.com/pricing"", ""https://casemark.com/security"", ""https://casemark.com/terms"", ""https://casemark.com/privacy"", ""https://casemark.com/dpa"", ""https://casemark.com/subprocessors"", ""https://casemark.com/workflows/gdpr-dpa"", ""https://casemark.com/workflows/data-processing-addendum-dpa-gdpr""]",Subprocessors URL rendered only a navigation/not-found shell.
casemark.contract.terms_last_updated,casemark,CaseMark,"CaseMark, Inc.",contract.terms_last_updated,,not-found,,https://casemark.com/terms,,2026-09-06,,"[""https://casemark.com/"", ""https://casemark.com/pricing"", ""https://casemark.com/security"", ""https://casemark.com/terms"", ""https://casemark.com/privacy"", ""https://casemark.com/dpa"", ""https://casemark.com/subprocessors"", ""https://casemark.com/workflows/gdpr-dpa"", ""https://casemark.com/workflows/data-processing-addendum-dpa-gdpr""]",Terms URL rendered only a navigation/not-found shell.
casemark.pricing.free_trial,casemark,CaseMark,"CaseMark, Inc.",pricing.free_trial,free to start; no credit card,stated,"""Free to start · No credit card · Private by default""",https://casemark.com/,http://web.archive.org/web/20260729204210/https://casemark.com/,2026-09-06,,,
casemark.pricing.list_price,casemark,CaseMark,"CaseMark, Inc.",pricing.list_price,Starting at $100 per user/month; $80 AI credits per user each month,stated,"""$80 in AI credits per user each month""",https://casemark.com/pricing,http://web.archive.org/web/20260706024500/https://casemark.com/pricing,2026-09-06,,,
casemark.pricing.minimum_term,casemark,CaseMark,"CaseMark, Inc.",pricing.minimum_term,,not-found,,https://casemark.com/pricing,http://web.archive.org/web/20260706024500/https://casemark.com/pricing,2026-09-06,,"[""https://casemark.com/"", ""https://casemark.com/pricing"", ""https://casemark.com/security"", ""https://casemark.com/terms"", ""https://casemark.com/privacy"", ""https://casemark.com/dpa"", ""https://casemark.com/subprocessors"", ""https://casemark.com/workflows/gdpr-dpa"", ""https://casemark.com/workflows/data-processing-addendum-dpa-gdpr""]",
casemark.pricing.model,casemark,CaseMark,"CaseMark, Inc.",pricing.model,per-seat,stated,"""Starting at $100 per user/month.""",https://casemark.com/pricing,http://web.archive.org/web/20260706024500/https://casemark.com/pricing,2026-09-06,,,
casemark.pricing.published,casemark,CaseMark,"CaseMark, Inc.",pricing.published,yes,stated,"""Starting at $100 per user/month.""",https://casemark.com/pricing,http://web.archive.org/web/20260706024500/https://casemark.com/pricing,2026-09-06,,,
casemark.pricing.seat_minimum,casemark,CaseMark,"CaseMark, Inc.",pricing.seat_minimum,,not-found,,https://casemark.com/pricing,http://web.archive.org/web/20260706024500/https://casemark.com/pricing,2026-09-06,,"[""https://casemark.com/"", ""https://casemark.com/pricing"", ""https://casemark.com/security"", ""https://casemark.com/terms"", ""https://casemark.com/privacy"", ""https://casemark.com/dpa"", ""https://casemark.com/subprocessors"", ""https://casemark.com/workflows/gdpr-dpa"", ""https://casemark.com/workflows/data-processing-addendum-dpa-gdpr""]",
casemark.security.audit_logs,casemark,CaseMark,"CaseMark, Inc.",security.audit_logs,yes,stated,"""Comprehensive audit logging for all user activities and system events.""",https://casemark.com/security,http://web.archive.org/web/20260706024500/https://casemark.com/security,2026-09-06,,,
casemark.security.data_residency,casemark,CaseMark,"CaseMark, Inc.",security.data_residency,"[""United States""]",stated,"""US data residency.""",https://casemark.com/security,http://web.archive.org/web/20260706024500/https://casemark.com/security,2026-09-06,,,
casemark.security.encryption_at_rest,casemark,CaseMark,"CaseMark, Inc.",security.encryption_at_rest,yes,stated,"""Encryption at rest for all stored data.""",https://casemark.com/security,http://web.archive.org/web/20260706024500/https://casemark.com/security,2026-09-06,,,
casemark.security.hipaa,casemark,CaseMark,"CaseMark, Inc.",security.hipaa,yes,stated,"""HIPAA""",https://casemark.com/security,http://web.archive.org/web/20260706024500/https://casemark.com/security,2026-09-06,,,
casemark.security.iso27001,casemark,CaseMark,"CaseMark, Inc.",security.iso27001,,not-found,,https://casemark.com/security,http://web.archive.org/web/20260706024500/https://casemark.com/security,2026-09-06,,"[""https://casemark.com/"", ""https://casemark.com/pricing"", ""https://casemark.com/security"", ""https://casemark.com/terms"", ""https://casemark.com/privacy"", ""https://casemark.com/dpa"", ""https://casemark.com/subprocessors"", ""https://casemark.com/workflows/gdpr-dpa"", ""https://casemark.com/workflows/data-processing-addendum-dpa-gdpr""]",
casemark.security.iso42001,casemark,CaseMark,"CaseMark, Inc.",security.iso42001,,not-found,,https://casemark.com/security,http://web.archive.org/web/20260706024500/https://casemark.com/security,2026-09-06,,"[""https://casemark.com/"", ""https://casemark.com/pricing"", ""https://casemark.com/security"", ""https://casemark.com/terms"", ""https://casemark.com/privacy"", ""https://casemark.com/dpa"", ""https://casemark.com/subprocessors"", ""https://casemark.com/workflows/gdpr-dpa"", ""https://casemark.com/workflows/data-processing-addendum-dpa-gdpr""]",
casemark.security.no_training_on_customer_data,casemark,CaseMark,"CaseMark, Inc.",security.no_training_on_customer_data,yes,stated,"""Your data is never used for training.""",https://casemark.com/security,http://web.archive.org/web/20260706024500/https://casemark.com/security,2026-09-06,,,
casemark.security.pen_test,casemark,CaseMark,"CaseMark, Inc.",security.pen_test,yes,stated,"""Annual external penetration testing.""",https://casemark.com/security,http://web.archive.org/web/20260706024500/https://casemark.com/security,2026-09-06,,,
casemark.security.private_deployment,casemark,CaseMark,"CaseMark, Inc.",security.private_deployment,yes,stated,"""Dedicated compute with isolated inference pool options""",https://casemark.com/pricing,http://web.archive.org/web/20260706024500/https://casemark.com/pricing,2026-09-06,,,
casemark.security.soc2,casemark,CaseMark,"CaseMark, Inc.",security.soc2,yes,stated,"""SOC 2 Type II""",https://casemark.com/security,http://web.archive.org/web/20260706024500/https://casemark.com/security,2026-09-06,,,
casemark.security.soc2_type,casemark,CaseMark,"CaseMark, Inc.",security.soc2_type,SOC 2 Type II,stated,"""SOC 2 Type II""",https://casemark.com/security,http://web.archive.org/web/20260706024500/https://casemark.com/security,2026-09-06,,,
casemark.security.sso_saml,casemark,CaseMark,"CaseMark, Inc.",security.sso_saml,yes,stated,"""Single sign-on (SSO) support""",https://casemark.com/pricing,http://web.archive.org/web/20260706024500/https://casemark.com/pricing,2026-09-06,,,
casemark.security.zero_retention,casemark,CaseMark,"CaseMark, Inc.",security.zero_retention,,not-found,,https://casemark.com/security,http://web.archive.org/web/20260706024500/https://casemark.com/security,2026-09-06,,"[""https://casemark.com/"", ""https://casemark.com/pricing"", ""https://casemark.com/security"", ""https://casemark.com/terms"", ""https://casemark.com/privacy"", ""https://casemark.com/dpa"", ""https://casemark.com/subprocessors"", ""https://casemark.com/workflows/gdpr-dpa"", ""https://casemark.com/workflows/data-processing-addendum-dpa-gdpr""]",
casemine-amicus.accuracy.claim,casemine-amicus,CaseMine AMICUS AI,Gauge Data Solutions Pvt. Ltd. (CaseMine),accuracy.claim,,not-found,,https://www.casemine.com/,,2026-09-06,,"[""https://www.casemine.com/pricing"", ""https://www.casemine.com/terms-and-conditions"", ""https://www.casemine.com/privacy-policy"", ""https://www.casemine.com/privacy"", ""https://www.casemine.com/terms"", ""https://www.casemine.com/about-us"", ""https://www.casemine.com/ai"", ""https://www.casemine.com/amicus"", ""https://www.casemine.com/security"", ""https://www.casemine.com/trust"", ""https://www.casemine.com/dpa"", ""https://www.casemine.com/subprocessors""]",Not found on checked public vendor pages.
casemine-amicus.accuracy.method_published,casemine-amicus,CaseMine AMICUS AI,Gauge Data Solutions Pvt. Ltd. (CaseMine),accuracy.method_published,no,not-found,,https://www.casemine.com/,,2026-09-06,,"[""https://www.casemine.com/pricing"", ""https://www.casemine.com/terms-and-conditions"", ""https://www.casemine.com/privacy-policy"", ""https://www.casemine.com/privacy"", ""https://www.casemine.com/terms"", ""https://www.casemine.com/about-us"", ""https://www.casemine.com/ai"", ""https://www.casemine.com/amicus"", ""https://www.casemine.com/security"", ""https://www.casemine.com/trust"", ""https://www.casemine.com/dpa"", ""https://www.casemine.com/subprocessors""]",No public methodology or benchmark description found on checked pages.
casemine-amicus.contract.dpa_available,casemine-amicus,CaseMine AMICUS AI,Gauge Data Solutions Pvt. Ltd. (CaseMine),contract.dpa_available,,not-found,,https://www.casemine.com/terms,,2026-09-06,,"[""https://www.casemine.com/pricing"", ""https://www.casemine.com/terms-and-conditions"", ""https://www.casemine.com/privacy-policy"", ""https://www.casemine.com/privacy"", ""https://www.casemine.com/terms"", ""https://www.casemine.com/about-us"", ""https://www.casemine.com/ai"", ""https://www.casemine.com/amicus"", ""https://www.casemine.com/security"", ""https://www.casemine.com/trust"", ""https://www.casemine.com/dpa"", ""https://www.casemine.com/subprocessors""]",Not found on checked public vendor pages.
casemine-amicus.contract.model_providers,casemine-amicus,CaseMine AMICUS AI,Gauge Data Solutions Pvt. Ltd. (CaseMine),contract.model_providers,,not-found,,https://www.casemine.com/terms,,2026-09-06,,"[""https://www.casemine.com/pricing"", ""https://www.casemine.com/terms-and-conditions"", ""https://www.casemine.com/privacy-policy"", ""https://www.casemine.com/privacy"", ""https://www.casemine.com/terms"", ""https://www.casemine.com/about-us"", ""https://www.casemine.com/ai"", ""https://www.casemine.com/amicus"", ""https://www.casemine.com/security"", ""https://www.casemine.com/trust"", ""https://www.casemine.com/dpa"", ""https://www.casemine.com/subprocessors""]",Not found on checked public vendor pages.
casemine-amicus.contract.privacy_last_updated,casemine-amicus,CaseMine AMICUS AI,Gauge Data Solutions Pvt. Ltd. (CaseMine),contract.privacy_last_updated,,not-found,,https://www.casemine.com/terms,,2026-09-06,,"[""https://www.casemine.com/pricing"", ""https://www.casemine.com/terms-and-conditions"", ""https://www.casemine.com/privacy-policy"", ""https://www.casemine.com/privacy"", ""https://www.casemine.com/terms"", ""https://www.casemine.com/about-us"", ""https://www.casemine.com/ai"", ""https://www.casemine.com/amicus"", ""https://www.casemine.com/security"", ""https://www.casemine.com/trust"", ""https://www.casemine.com/dpa"", ""https://www.casemine.com/subprocessors""]",Not found on checked public vendor pages.
casemine-amicus.contract.subprocessors_published,casemine-amicus,CaseMine AMICUS AI,Gauge Data Solutions Pvt. Ltd. (CaseMine),contract.subprocessors_published,,not-found,,https://www.casemine.com/terms,,2026-09-06,,"[""https://www.casemine.com/pricing"", ""https://www.casemine.com/terms-and-conditions"", ""https://www.casemine.com/privacy-policy"", ""https://www.casemine.com/privacy"", ""https://www.casemine.com/terms"", ""https://www.casemine.com/about-us"", ""https://www.casemine.com/ai"", ""https://www.casemine.com/amicus"", ""https://www.casemine.com/security"", ""https://www.casemine.com/trust"", ""https://www.casemine.com/dpa"", ""https://www.casemine.com/subprocessors""]",Not found on checked public vendor pages.
casemine-amicus.contract.terms_last_updated,casemine-amicus,CaseMine AMICUS AI,Gauge Data Solutions Pvt. Ltd. (CaseMine),contract.terms_last_updated,,not-found,,https://www.casemine.com/terms,,2026-09-06,,"[""https://www.casemine.com/pricing"", ""https://www.casemine.com/terms-and-conditions"", ""https://www.casemine.com/privacy-policy"", ""https://www.casemine.com/privacy"", ""https://www.casemine.com/terms"", ""https://www.casemine.com/about-us"", ""https://www.casemine.com/ai"", ""https://www.casemine.com/amicus"", ""https://www.casemine.com/security"", ""https://www.casemine.com/trust"", ""https://www.casemine.com/dpa"", ""https://www.casemine.com/subprocessors""]",Not found on checked public vendor pages.
casemine-amicus.pricing.free_trial,casemine-amicus,CaseMine AMICUS AI,Gauge Data Solutions Pvt. Ltd. (CaseMine),pricing.free_trial,,not-found,,https://www.casemine.com/pricing,,2026-09-06,,"[""https://www.casemine.com/pricing"", ""https://www.casemine.com/terms-and-conditions"", ""https://www.casemine.com/privacy-policy"", ""https://www.casemine.com/privacy"", ""https://www.casemine.com/terms"", ""https://www.casemine.com/about-us"", ""https://www.casemine.com/ai"", ""https://www.casemine.com/amicus"", ""https://www.casemine.com/security"", ""https://www.casemine.com/trust"", ""https://www.casemine.com/dpa"", ""https://www.casemine.com/subprocessors""]",Not found on checked public vendor pages.
casemine-amicus.pricing.list_price,casemine-amicus,CaseMine AMICUS AI,Gauge Data Solutions Pvt. Ltd. (CaseMine),pricing.list_price,,not-found,,https://www.casemine.com/pricing,,2026-09-06,,"[""https://www.casemine.com/pricing"", ""https://www.casemine.com/terms-and-conditions"", ""https://www.casemine.com/privacy-policy"", ""https://www.casemine.com/privacy"", ""https://www.casemine.com/terms"", ""https://www.casemine.com/about-us"", ""https://www.casemine.com/ai"", ""https://www.casemine.com/amicus"", ""https://www.casemine.com/security"", ""https://www.casemine.com/trust"", ""https://www.casemine.com/dpa"", ""https://www.casemine.com/subprocessors""]",Not found on checked public vendor pages.
casemine-amicus.pricing.minimum_term,casemine-amicus,CaseMine AMICUS AI,Gauge Data Solutions Pvt. Ltd. (CaseMine),pricing.minimum_term,,not-found,,https://www.casemine.com/pricing,,2026-09-06,,"[""https://www.casemine.com/pricing"", ""https://www.casemine.com/terms-and-conditions"", ""https://www.casemine.com/privacy-policy"", ""https://www.casemine.com/privacy"", ""https://www.casemine.com/terms"", ""https://www.casemine.com/about-us"", ""https://www.casemine.com/ai"", ""https://www.casemine.com/amicus"", ""https://www.casemine.com/security"", ""https://www.casemine.com/trust"", ""https://www.casemine.com/dpa"", ""https://www.casemine.com/subprocessors""]",Not found on checked public vendor pages.
casemine-amicus.pricing.model,casemine-amicus,CaseMine AMICUS AI,Gauge Data Solutions Pvt. Ltd. (CaseMine),pricing.model,not-published,not-found,,https://www.casemine.com/pricing,,2026-09-06,,"[""https://www.casemine.com/pricing"", ""https://www.casemine.com/terms-and-conditions"", ""https://www.casemine.com/privacy-policy"", ""https://www.casemine.com/privacy"", ""https://www.casemine.com/terms"", ""https://www.casemine.com/about-us"", ""https://www.casemine.com/ai"", ""https://www.casemine.com/amicus"", ""https://www.casemine.com/security"", ""https://www.casemine.com/trust"", ""https://www.casemine.com/dpa"", ""https://www.casemine.com/subprocessors""]","No public pricing model stated on checked pricing, product, and legal pages."
casemine-amicus.pricing.published,casemine-amicus,CaseMine AMICUS AI,Gauge Data Solutions Pvt. Ltd. (CaseMine),pricing.published,no,not-found,,https://www.casemine.com/pricing,,2026-09-06,,"[""https://www.casemine.com/pricing"", ""https://www.casemine.com/terms-and-conditions"", ""https://www.casemine.com/privacy-policy"", ""https://www.casemine.com/privacy"", ""https://www.casemine.com/terms"", ""https://www.casemine.com/about-us"", ""https://www.casemine.com/ai"", ""https://www.casemine.com/amicus"", ""https://www.casemine.com/security"", ""https://www.casemine.com/trust"", ""https://www.casemine.com/dpa"", ""https://www.casemine.com/subprocessors""]","No concrete public list price found on checked pricing, product, and legal pages."
